State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio,Discharge Ratio,Death Ratio,Population
Andaman and Nicobar,8397,479,7789,129,5.7,92.76,1.54,399001
Andhra Pradesh,2087879,10119,2063255,14505,0.48,98.82,0.69,91702478
Arunachal Pradesh,56010,665,55063,282,1.19,98.31,0.5,1711947
Assam,635050,13139,615722,6189,2.07,96.96,0.97,35998752
Bihar,762458,28660,721684,12114,3.76,94.65,1.59,128500364
Chandigarh,71303,4808,65411,1084,6.74,91.74,1.52,1158040
Chhattisgarh,1038060,27425,997008,13627,2.64,96.05,1.31,32199722
Dadra and Nagar Haveli and Daman and Diu,10856,144,10708,4,1.33,98.64,0.04,773997
Delhi,1617716,87445,1505031,25240,5.41,93.03,1.56,19301096
Goa,197096,14134,179423,3539,7.17,91.03,1.8,1521992
Gujarat,885718,43726,831855,10137,4.94,93.92,1.14,70400153
Haryana,812516,31173,771260,10083,3.84,94.92,1.24,28900667
Himachal Pradesh,236639,6937,225815,3887,2.93,95.43,1.64,7503010
Jammu and Kashmir,348201,6242,337412,4547,1.79,96.9,1.31,14999397
Jharkhand,391526,30986,355356,5184,7.91,90.76,1.32,40100376
Karnataka,3099519,93128,2968002,38389,3.0,95.76,1.24,69599762
Kerala,5313147,55133,5207762,50252,1.04,98.02,0.95,34698876
Ladakh,22849,502,22125,222,2.2,96.83,0.97,290492
Lakshadweep,10435,15,10369,51,0.14,99.37,0.49,66001
Madhya Pradesh,810442,14406,785496,10540,1.78,96.92,1.3,85002417
Maharashtra,7034661,243849,6649111,141701,3.47,94.52,2.01,124904071
Manipur,126550,736,123802,2012,0.58,97.83,1.59,3436948
Meghalaya,85629,701,83439,1489,0.82,97.44,1.74,3772103
Mizoram,149492,7397,141531,564,4.95,94.67,0.38,1308967
Nagaland,32530,242,31585,703,0.74,97.09,2.16,2073074
Odisha,1091547,34346,1048732,8469,3.15,96.08,0.78,47099270
Puducherry,132759,3203,127673,1883,2.41,96.17,1.42,1646050
Punjab,636243,26781,592760,16702,4.21,93.17,2.63,30501026
Rajasthan,998126,38448,950697,8981,3.85,95.25,0.9,79502477
Sikkim,33351,796,32145,410,2.39,96.38,1.23,658019
Tamil Nadu,2847589,88959,2721725,36905,3.12,95.58,1.3,83697770
Telengana,700094,18339,677708,4047,2.62,96.8,0.58,38157311
Tripura,88214,2844,84538,832,3.22,95.83,0.94,4184959
Uttar Pradesh,1770521,57355,1690226,22940,3.24,95.46,1.3,231502578
Uttarakhand,357219,8018,341768,7433,2.24,95.67,2.08,11700099
West Bengal,1817585,116251,1681375,19959,6.4,92.51,1.1,100896618
